Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-2022-00031,2022-12-09,2022-12-13,Second Class,CUST-0224,Jennifer Davis,Home Office,United States,Houston,Texas,Central,PROD-FUR-1058,Furniture,Tables,Side Table,184.4,1,0.1,0.93
ORD-2022-00032,2022-02-08,2022-02-13,Standard Class,CUST-0341,James Wilson,Corporate,United States,Las Vegas,Nevada,West,PROD-FUR-9298,Furniture,Chairs,Task Chair,374.0,1,0.4,-112.32
ORD-2022-00033,2022-08-29,2022-09-01,Second Class,CUST-0216,Jessica Garcia,Home Office,United States,Austin,Texas,Central,PROD-FUR-1048,Furniture,Bookcases,Corner Bookcase,316.06,2,0.1,23.38
ORD-2022-00034,2022-10-22,2022-10-28,Standard Class,CUST-0346,Patricia Johnson,Consumer,United States,Raleigh,North Carolina,South,PROD-FUR-8739,Furniture,Chairs,Executive Chair,282.74,1,0.1,21.82
ORD-2022-00035,2022-09-28,2022-10-03,Standard Class,CUST-0076,Jessica Garcia,Consumer,United States,Charlotte,North Carolina,South,PROD-FUR-0965,Furniture,Bookcases,5-Shelf Bookcase,1192.87,3,0.2,-114.43
ORD-2022-00036,2022-02-03,2022-02-07,Second Class,CUST-0254,Susan Martin,Corporate,United States,Spokane,Washington,West,PROD-OFF-5251,Office Supplies,Paper,Sticky Notes Pack,163.76,2,0.2,12.85
ORD-2023-00037,2023-11-27,2023-12-04,Standard Class,CUST-0128,Linda Anderson,Consumer,United States,Philadelphia,Pennsylvania,East,PROD-TEC-2094,Technology,Monitors,"LG 27"" 4K",404.56,1,0.4,-45.73
ORD-2023-00038,2023-10-31,2023-11-07,Standard Class,CUST-0229,John Taylor,Consumer,United States,Raleigh,North Carolina,South,PROD-OFF-5493,Office Supplies,Art,Watercolors,145.55,2,0.2,26.17
ORD-2021-00039,2021-06-08,2021-06-11,Second Class,CUST-0140,Karen Clark,Corporate,United States,Montgomery,Alabama,South,PROD-TEC-5897,Technology,Accessories,Webcam HD,1041.32,2,0.0,274.42
ORD-2022-00040,2022-03-15,2022-03-21,Standard Class,CUST-0170,Barbara Thomas,Home Office,United States,Minneapolis,Minnesota,Central,PROD-TEC-9099,Technology,Computers,Dell XPS 15,540.91,1,0.0,126.6
ORD-2021-00041,2021-02-10,2021-02-14,First Class,CUST-0195,Joseph Thompson,Corporate,United States,Birmingham,Alabama,South,PROD-TEC-3592,Technology,Monitors,"Samsung 32"" Curved",901.87,4,0.1,142.1
ORD-2022-00042,2022-03-28,2022-04-03,Standard Class,CUST-0224,Jennifer Davis,Corporate,United States,Eugene,Oregon,West,PROD-FUR-4906,Furniture,Storage,Drawer Unit,425.52,3,0.1,-11.38
ORD-2023-00043,2023-12-30,2024-01-05,Standard Class,CUST-0304,Jennifer Davis,Home Office,United States,Reno,Nevada,West,PROD-OFF-7317,Office Supplies,Fasteners,Tape Dispenser,122.89,3,0.4,-2.25
ORD-2022-00044,2022-11-02,2022-11-08,Standard Class,CUST-0173,Richard Harris,Corporate,United States,San Diego,California,West,PROD-FUR-0848,Furniture,Tables,Coffee Table,648.24,1,0.0,63.93
ORD-2022-00045,2022-12-18,2022-12-23,Standard Class,CUST-0400,Karen Clark,Home Office,United States,Grand Rapids,Michigan,Central,PROD-TEC-2094,Technology,Monitors,"LG 27"" 4K",2111.67,3,0.0,401.64
ORD-2021-00046,2021-08-23,2021-08-26,Second Class,CUST-0239,Charles Lewis,Home Office,United States,Los Angeles,California,West,PROD-TEC-1559,Technology,Phones,Samsung Galaxy S23,301.64,1,0.1,45.7
ORD-2021-00047,2021-02-22,2021-02-26,First Class,CUST-0347,David Martinez,Corporate,United States,Columbus,Ohio,Central,PROD-OFF-6972,Office Supplies,Paper,Photo Paper,185.05,5,0.0,52.36
ORD-2021-00048,2021-09-05,2021-09-09,First Class,CUST-0022,Maria Garcia,Corporate,United States,Charlotte,North Carolina,South,PROD-OFF-0722,Office Supplies,Binders,3-Ring Binder,212.34,2,0.0,67.96
ORD-2021-00049,2021-08-05,2021-08-11,Standard Class,CUST-0326,Patricia Johnson,Corporate,United States,Nashville,Tennessee,South,PROD-OFF-1565,Office Supplies,Art,Markers Set,211.95,3,0.3,16.18
ORD-2022-00050,2022-07-04,2022-07-09,Standard Class,CUST-0045,Michael Brown,Corporate,United States,Boston,Massachusetts,East,PROD-OFF-5493,Office Supplies,Art,Watercolors,132.76,2,0.3,11.27
ORD-2022-00051,2022-01-08,2022-01-14,Standard Class,CUST-0133,Richard Harris,Corporate,United States,Raleigh,North Carolina,South,PROD-OFF-6175,Office Supplies,Fasteners,Paper Clips Box,72.2,1,0.3,2.67
ORD-2023-00052,2023-09-28,2023-10-01,Second Class,CUST-0354,Susan Martin,Corporate,United States,Saint Paul,Minnesota,Central,PROD-OFF-6972,Office Supplies,Paper,Photo Paper,40.9,1,0.2,4.49
ORD-2023-00053,2023-01-26,2023-02-02,Standard Class,CUST-0177,Thomas Moore,Corporate,United States,Birmingham,Alabama,South,PROD-TEC-8839,Technology,Accessories,Mechanical Keyboard,947.96,2,0.0,223.04
ORD-2022-00054,2022-10-09,2022-10-16,Standard Class,CUST-0391,William Jackson,Home Office,United States,Cleveland,Ohio,Central,PROD-FUR-7576,Furniture,Bookcases,Wall Bookcase,478.47,1,0.2,-79.53
ORD-2023-00055,2023-12-11,2023-12-14,Second Class,CUST-0100,Karen Clark,Corporate,United States,Philadelphia,Pennsylvania,East,PROD-OFF-6175,Office Supplies,Fasteners,Paper Clips Box,63.73,3,0.5,-8.68
ORD-2022-00056,2022-08-22,2022-08-25,Second Class,CUST-0327,David Martinez,Corporate,United States,Richmond,Virginia,East,PROD-FUR-9533,Furniture,Chairs,Gaming Chair,103.56,1,0.5,-32.3
ORD-2021-00057,2021-04-16,2021-04-22,Standard Class,CUST-0059,Charles Lewis,Consumer,United States,San Diego,California,West,PROD-FUR-3856,Furniture,Storage,Storage Ottoman,641.98,2,0.0,72.77
ORD-2022-00058,2022-09-15,2022-09-20,Standard Class,CUST-0061,James Wilson,Home Office,United States,Birmingham,Alabama,South,PROD-OFF-6972,Office Supplies,Paper,Photo Paper,62.27,1,0.1,10.73
ORD-2023-00059,2023-05-29,2023-06-05,Standard Class,CUST-0031,William Jackson,Home Office,United States,New Orleans,Louisiana,South,PROD-OFF-8257,Office Supplies,Fasteners,Rubber Bands,439.84,4,0.0,156.65
ORD-2021-00060,2021-11-17,2021-11-23,Standard Class,CUST-0353,Richard Harris,Home Office,United States,Seattle,Washington,West,PROD-FUR-9533,Furniture,Chairs,Gaming Chair,611.07,1,0.1,17.88
ORD-2022-00061,2022-04-24,2022-04-28,First Class,CUST-0302,Maria Garcia,Home Office,United States,Nashville,Tennessee,South,PROD-TEC-0153,Technology,Accessories,USB Hub,1041.15,3,0.1,96.89
ORD-2021-00062,2021-10-19,2021-10-24,Standard Class,CUST-0158,Sarah Rodriguez,Home Office,United States,Boston,Massachusetts,East,PROD-OFF-1283,Office Supplies,Binders,Spiral Notebook,48.14,1,0.0,14.64
ORD-2023-00063,2023-10-09,2023-10-16,Standard Class,CUST-0021,James Wilson,Corporate,United States,Detroit,Michigan,Central,PROD-FUR-1048,Furniture,Bookcases,Corner Bookcase,843.0,2,0.0,86.57
ORD-2021-00064,2021-02-12,2021-02-14,Same Day,CUST-0138,Sarah Rodriguez,Home Office,United States,Saint Paul,Minnesota,Central,PROD-TEC-1559,Technology,Phones,Samsung Galaxy S23,738.64,5,0.3,-0.66
ORD-2023-00065,2023-10-05,2023-10-06,Same Day,CUST-0179,Charles Lewis,Corporate,United States,Spokane,Washington,West,PROD-OFF-6175,Office Supplies,Fasteners,Paper Clips Box,39.65,1,0.1,7.92
ORD-2023-00066,2023-04-01,2023-04-05,First Class,CUST-0019,Charles Lewis,Corporate,United States,Columbus,Ohio,Central,PROD-TEC-5897,Technology,Accessories,Webcam HD,552.86,2,0.0,145.73
ORD-2021-00067,2021-01-03,2021-01-08,Second Class,CUST-0237,Thomas Moore,Corporate,United States,Eugene,Oregon,West,PROD-FUR-9298,Furniture,Chairs,Task Chair,771.54,4,0.3,-115.96
ORD-2021-00068,2021-09-26,2021-09-29,First Class,CUST-0358,Sarah Rodriguez,Corporate,United States,Spokane,Washington,West,PROD-OFF-8257,Office Supplies,Fasteners,Rubber Bands,248.97,3,0.0,66.97
ORD-2023-00069,2023-04-16,2023-04-21,Standard Class,CUST-0237,Thomas Moore,Consumer,United States,San Diego,California,West,PROD-OFF-1283,Office Supplies,Binders,Spiral Notebook,79.24,1,0.1,19.09
ORD-2022-00070,2022-05-15,2022-05-20,Standard Class,CUST-0197,Thomas Moore,Consumer,United States,Cambridge,Massachusetts,East,PROD-OFF-5493,Office Supplies,Art,Watercolors,83.4,3,0.5,-7.82
ORD-2022-00071,2022-09-04,2022-09-08,First Class,CUST-0338,Sarah Rodriguez,Corporate,United States,Buffalo,New York,East,PROD-FUR-1048,Furniture,Bookcases,Corner Bookcase,440.03,1,0.0,77.31
ORD-2022-00072,2022-10-22,2022-10-26,First Class,CUST-0123,Robert Smith,Home Office,United States,Cambridge,Massachusetts,East,PROD-FUR-1048,Furniture,Bookcases,Corner Bookcase,571.68,3,0.0,57.32
ORD-2023-00073,2023-03-02,2023-03-04,Same Day,CUST-0078,Sarah Rodriguez,Corporate,United States,Raleigh,North Carolina,South,PROD-TEC-5897,Technology,Accessories,Webcam HD,641.68,3,0.3,10.86
ORD-2021-00074,2021-10-23,2021-10-30,Standard Class,CUST-0080,Karen Clark,Consumer,United States,Spokane,Washington,West,PROD-TEC-2094,Technology,Monitors,"LG 27"" 4K",366.37,2,0.1,83.63
ORD-2023-00075,2023-12-29,2024-01-04,Standard Class,CUST-0321,James Wilson,Home Office,United States,Memphis,Tennessee,South,PROD-OFF-3860,Office Supplies,Fasteners,Stapler,67.17,4,0.3,4.36
ORD-2022-00076,2022-04-11,2022-04-15,Second Class,CUST-0051,William Jackson,Home Office,United States,New Orleans,Louisiana,South,PROD-OFF-6972,Office Supplies,Paper,Photo Paper,82.31,2,0.4,-2.8
ORD-2022-00077,2022-08-24,2022-08-30,Standard Class,CUST-0075,Joseph Thompson,Consumer,United States,Las Vegas,Nevada,West,PROD-OFF-1565,Office Supplies,Art,Markers Set,30.55,1,0.2,2.17
ORD-2022-00078,2022-05-09,2022-05-16,Standard Class,CUST-0074,Susan Martin,Consumer,United States,New Orleans,Louisiana,South,PROD-TEC-8865,Technology,Computers,MacBook Pro,1317.32,2,0.0,362.03
ORD-2021-00079,2021-11-20,2021-11-26,Standard Class,CUST-0301,James Wilson,Corporate,United States,Memphis,Tennessee,South,PROD-FUR-9298,Furniture,Chairs,Task Chair,694.43,4,0.2,-46.14
ORD-2023-00080,2023-02-21,2023-02-26,Second Class,CUST-0152,Elizabeth White,Home Office,United States,Memphis,Tennessee,South,PROD-FUR-0848,Furniture,Tables,Coffee Table,1324.0,4,0.0,139.99
ORD-2021-00081,2021-04-11,2021-04-15,First Class,CUST-0255,Joseph Thompson,Corporate,United States,Austin,Texas,Central,PROD-FUR-0965,Furniture,Bookcases,5-Shelf Bookcase,815.34,2,0.2,-30.78
ORD-2021-00082,2021-10-08,2021-10-13,Second Class,CUST-0331,William Jackson,Consumer,United States,Orlando,Florida,East,PROD-TEC-2686,Technology,Computers,HP Spectre,1195.3,2,0.2,148.88
ORD-2023-00083,2023-05-01,2023-05-06,Standard Class,CUST-0277,Thomas Moore,Corporate,United States,Detroit,Michigan,Central,PROD-OFF-1800,Office Supplies,Art,Colored Pencils,44.27,1,0.0,17.78
ORD-2023-00084,2023-08-18,2023-08-18,Same Day,CUST-0387,David Martinez,Consumer,United States,Springfield,Illinois,Central,PROD-FUR-1048,Furniture,Bookcases,Corner Bookcase,537.99,4,0.3,-111.69
ORD-2023-00085,2023-01-25,2023-01-30,Second Class,CUST-0135,Joseph Thompson,Home Office,United States,Baton Rouge,Louisiana,South,PROD-TEC-2094,Technology,Monitors,"LG 27"" 4K",419.45,1,0.0,124.84
ORD-2022-00086,2022-11-03,2022-11-05,First Class,CUST-0332,Elizabeth White,Consumer,United States,Nashville,Tennessee,South,PROD-OFF-1694,Office Supplies,Binders,Presentation Folder,61.49,1,0.3,3.36
ORD-2023-00087,2023-10-06,2023-10-11,Standard Class,CUST-0276,Jessica Garcia,Consumer,United States,Memphis,Tennessee,South,PROD-TEC-8865,Technology,Computers,MacBook Pro,935.6,4,0.0,279.45
ORD-2023-00088,2023-09-30,2023-10-04,Second Class,CUST-0017,Thomas Moore,Home Office,United States,Montgomery,Alabama,South,PROD-OFF-7317,Office Supplies,Fasteners,Tape Dispenser,118.56,4,0.2,15.3
ORD-2023-00089,2023-01-05,2023-01-11,Standard Class,CUST-0098,Sarah Rodriguez,Consumer,United States,Springfield,Illinois,Central,PROD-FUR-1058,Furniture,Tables,Side Table,116.12,1,0.2,-3.03
ORD-2021-00090,2021-09-15,2021-09-17,First Class,CUST-0036,Jessica Garcia,Home Office,United States,Atlanta,Georgia,South,PROD-OFF-8243,Office Supplies,Paper,A4 Ream 500,94.89,3,0.0,29.13
ORD-2022-00091,2022-07-22,2022-07-24,First Class,CUST-0067,David Martinez,Home Office,United States,Miami,Florida,East,PROD-TEC-8839,Technology,Accessories,Mechanical Keyboard,1780.19,3,0.1,198.18
ORD-2022-00092,2022-05-03,2022-05-06,Second Class,CUST-0090,Barbara Thomas,Corporate,United States,Chicago,Illinois,Central,PROD-OFF-6972,Office Supplies,Paper,Photo Paper,64.94,1,0.2,9.7
ORD-2023-00093,2023-11-18,2023-11-22,Second Class,CUST-0258,Sarah Rodriguez,Consumer,United States,Spokane,Washington,West,PROD-OFF-8243,Office Supplies,Paper,A4 Ream 500,70.16,2,0.2,5.74
ORD-2023-00094,2023-05-24,2023-05-28,Second Class,CUST-0365,Michael Brown,Corporate,United States,Boulder,Colorado,West,PROD-FUR-7655,Furniture,Chairs,Ergonomic Chair,1127.77,5,0.3,-134.43
ORD-2022-00095,2022-10-28,2022-11-04,Standard Class,CUST-0272,Elizabeth White,Corporate,United States,San Francisco,California,West,PROD-OFF-0722,Office Supplies,Binders,3-Ring Binder,79.14,1,0.2,13.51
ORD-2023-00096,2023-04-28,2023-05-04,Standard Class,CUST-0205,Michael Brown,Corporate,United States,Baton Rouge,Louisiana,South,PROD-TEC-1559,Technology,Phones,Samsung Galaxy S23,889.46,2,0.3,-48.66
ORD-2023-00097,2023-08-30,2023-09-04,Standard Class,CUST-0048,Linda Anderson,Corporate,United States,Eugene,Oregon,West,PROD-FUR-7576,Furniture,Bookcases,Wall Bookcase,1383.68,5,0.2,-74.95
ORD-2023-00098,2023-05-17,2023-05-21,First Class,CUST-0027,David Martinez,Corporate,United States,Portland,Oregon,West,PROD-OFF-6420,Office Supplies,Paper,Cardstock,83.47,2,0.1,20.46
ORD-2021-00099,2021-08-10,2021-08-17,Standard Class,CUST-0189,John Taylor,Consumer,United States,Columbus,Ohio,Central,PROD-OFF-0722,Office Supplies,Binders,3-Ring Binder,158.6,2,0.0,46.06
ORD-2022-00100,2022-09-25,2022-09-28,First Class,CUST-0004,Jennifer Davis,Consumer,United States,Minneapolis,Minnesota,Central,PROD-FUR-8739,Furniture,Chairs,Executive Chair,585.09,1,0.0,134.21
ORD-2021-00101,2021-07-07,2021-07-10,Second Class,CUST-0193,Richard Harris,Corporate,United States,Tampa,Florida,East,PROD-FUR-9533,Furniture,Chairs,Gaming Chair,623.72,3,0.5,-203.49
ORD-2021-00102,2021-06-23,2021-06-25,First Class,CUST-0081,James Wilson,Home Office,United States,Nashville,Tennessee,South,PROD-FUR-1048,Furniture,Bookcases,Corner Bookcase,149.6,1,0.4,-41.67
ORD-2022-00103,2022-03-18,2022-03-20,First Class,CUST-0177,Thomas Moore,Corporate,United States,San Francisco,California,West,PROD-FUR-3856,Furniture,Storage,Storage Ottoman,276.52,2,0.1,19.1
ORD-2021-00104,2021-04-23,2021-04-29,Standard Class,CUST-0109,John Taylor,Consumer,United States,Eugene,Oregon,West,PROD-OFF-1565,Office Supplies,Art,Markers Set,40.3,1,0.5,-6.25
ORD-2023-00105,2023-02-18,2023-02-21,Second Class,CUST-0257,Thomas Moore,Home Office,United States,Cleveland,Ohio,Central,PROD-TEC-7097,Technology,Phones,OnePlus 11,2554.98,3,0.0,714.41
ORD-2022-00106,2022-10-04,2022-10-09,Second Class,CUST-0208,Linda Anderson,Home Office,United States,Dallas,Texas,Central,PROD-OFF-5251,Office Supplies,Paper,Sticky Notes Pack,65.54,1,0.4,-5.12
ORD-2023-00107,2023-08-01,2023-08-04,First Class,CUST-0046,Patricia Johnson,Corporate,United States,Nashville,Tennessee,South,PROD-FUR-8739,Furniture,Chairs,Executive Chair,213.39,1,0.4,-44.58
ORD-2022-00108,2022-11-27,2022-12-02,Standard Class,CUST-0040,Karen Clark,Home Office,United States,Spokane,Washington,West,PROD-OFF-3860,Office Supplies,Fasteners,Stapler,99.1,1,0.0,26.06
ORD-2021-00109,2021-10-30,2021-11-04,Standard Class,CUST-0132,Elizabeth White,Consumer,United States,Denver,Colorado,West,PROD-FUR-1048,Furniture,Bookcases,Corner Bookcase,1807.24,5,0.2,-145.52
ORD-2023-00110,2023-08-09,2023-08-13,First Class,CUST-0230,Barbara Thomas,Home Office,United States,Miami,Florida,East,PROD-OFF-6972,Office Supplies,Paper,Photo Paper,427.0,5,0.2,62.0
ORD-2022-00111,2022-07-17,2022-07-21,Second Class,CUST-0260,Karen Clark,Consumer,United States,Columbus,Ohio,Central,PROD-FUR-9298,Furniture,Chairs,Task Chair,388.84,2,0.0,74.08
ORD-2021-00112,2021-07-04,2021-07-09,Second Class,CUST-0197,Thomas Moore,Corporate,United States,Grand Rapids,Michigan,Central,PROD-TEC-9124,Technology,Phones,Google Pixel 7,1816.53,3,0.0,530.97
ORD-2021-00113,2021-07-31,2021-08-03,First Class,CUST-0366,Patricia Johnson,Consumer,United States,Las Vegas,Nevada,West,PROD-FUR-4906,Furniture,Storage,Drawer Unit,554.83,1,0.0,67.72
ORD-2023-00114,2023-01-16,2023-01-22,Standard Class,CUST-0199,Charles Lewis,Corporate,United States,New York City,New York,East,PROD-OFF-8257,Office Supplies,Fasteners,Rubber Bands,136.37,2,0.2,11.13
ORD-2023-00115,2023-03-03,2023-03-10,Standard Class,CUST-0337,Thomas Moore,Home Office,United States,Minneapolis,Minnesota,Central,PROD-OFF-1565,Office Supplies,Art,Markers Set,44.03,1,0.1,11.68
ORD-2023-00116,2023-03-14,2023-03-21,Standard Class,CUST-0044,Jennifer Davis,Corporate,United States,Richmond,Virginia,East,PROD-OFF-1694,Office Supplies,Binders,Presentation Folder,76.27,1,0.2,10.08
ORD-2022-00117,2022-09-25,2022-09-30,Standard Class,CUST-0175,Joseph Thompson,Corporate,United States,Nashville,Tennessee,South,PROD-OFF-5251,Office Supplies,Paper,Sticky Notes Pack,209.38,2,0.0,64.97
ORD-2023-00118,2023-12-15,2023-12-21,Standard Class,CUST-0393,Richard Harris,Home Office,United States,Philadelphia,Pennsylvania,East,PROD-TEC-9124,Technology,Phones,Google Pixel 7,1598.82,3,0.0,491.63
ORD-2021-00119,2021-12-06,2021-12-09,Second Class,CUST-0211,William Jackson,Corporate,United States,Orlando,Florida,East,PROD-TEC-9099,Technology,Computers,Dell XPS 15,1511.93,3,0.2,106.28
ORD-2023-00120,2023-08-19,2023-08-21,First Class,CUST-0189,John Taylor,Home Office,United States,Cambridge,Massachusetts,East,PROD-OFF-7317,Office Supplies,Fasteners,Tape Dispenser,171.36,2,0.0,53.0
ORD-2021-00121,2021-10-11,2021-10-13,First Class,CUST-0329,John Taylor,Corporate,United States,Montgomery,Alabama,South,PROD-FUR-2026,Furniture,Storage,Filing Cabinet,691.49,3,0.3,-98.85
ORD-2023-00122,2023-07-10,2023-07-12,First Class,CUST-0224,Jennifer Davis,Consumer,United States,Minneapolis,Minnesota,Central,PROD-OFF-6420,Office Supplies,Paper,Cardstock,56.3,1,0.0,17.26
ORD-2023-00123,2023-03-02,2023-03-03,Same Day,CUST-0115,Joseph Thompson,Consumer,United States,Cambridge,Massachusetts,East,PROD-TEC-2094,Technology,Monitors,"LG 27"" 4K",200.16,1,0.0,43.19
ORD-2023-00124,2023-08-26,2023-08-29,Second Class,CUST-0389,John Taylor,Home Office,United States,Austin,Texas,Central,PROD-OFF-1800,Office Supplies,Art,Colored Pencils,64.4,1,0.0,14.71
ORD-2023-00125,2023-12-17,2023-12-23,Standard Class,CUST-0122,Maria Garcia,Corporate,United States,Birmingham,Alabama,South,PROD-TEC-9124,Technology,Phones,Google Pixel 7,588.58,1,0.0,155.56
ORD-2021-00126,2021-02-03,2021-02-08,Second Class,CUST-0124,Jennifer Davis,Home Office,United States,Los Angeles,California,West,PROD-FUR-2026,Furniture,Storage,Filing Cabinet,94.25,1,0.4,-25.99
